f(x)=7*sin(x)*cos(x)*cos(x)

x                  f(x)               
-1                 -1.7195342         
-0.9               -2.1187369         
-0.8               -2.4374337         
-0.7               -2.6379973         
-0.6               -2.6923577         
-0.5               -2.5846109         
-0.4               -2.3125505         
-0.3               -1.8879825         
-0.2               -1.3357957         
-0.1               -0.6918688         
0                  0                  
0.1                0.6918688          
0.2                1.3357957          
0.3                1.8879825          
0.4                2.3125505          
0.5                2.5846109          
0.6                2.6923577          
0.7                2.6379973          
0.8                2.4374337          
0.9                2.1187369          
1                  1.7195342          
1.1                1.2835579          
1.2                0.8566576          
1.3                0.482636           
1.4                0.1992794          
1.5                0.0349385          
1.6                0.0059657          
1.7                0.1152377          
1.8                0.3518955          
1.9                0.6923255          
2                  1.1022934          
2.1                1.5400407          
2.2                1.9600661          
2.3                2.3172537          
2.4                2.5709793          
2.5                2.6888262          
2.6                2.6495783          
2.7                2.445222           
2.8                2.0817774          
2.9                1.5788825          
3                  0.9681674          
3.1                0.2905614          
3.2                -0.4072266         
3.3                -1.0767428         
3.4                -1.6719776         
3.5                -2.1533382         
3.6                -2.4910492         
3.7                -2.6676803         
3.8                -2.6795762         
3.9                -2.5370621         
4                  -2.263407          
4.1                -1.8926406         
4.2                -1.4664173         
4.3                -1.0302101         
4.4                -0.629175          
4.5                -0.304055          
4.6                -0.0874918         
4.7                -0.0010743         
4.8                -0.053387          
4.9                -0.2392351         
5                  -0.5401138         
5.1                -0.9258797         
5.2                -1.3574768         
5.3                -1.7904705         
5.4                -2.1790763         
5.5                -2.4803199         
5.6                -2.6579589         
5.7                -2.6858135         
5.8                -2.5502077         
5.9                -2.2513035         
6                  -1.8032048         
6.1                -1.2328244         
6.2                -0.5776104         
6.3                0.117664           
6.4                0.8047622          
6.5                1.4361548          
6.6                1.9691264          
6.7                2.3694553          
6.8                2.6143359          
6.9                2.6942869          
7                  2.6138739          
